Sint Maarten (Dutch part),SXM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Slovak Republic,SVK,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.0585429942296
Slovenia,SVN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Solomon Islands,SLB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
South Africa,ZAF,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,14.2582599305163
South Sudan,SSD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.6158907246178
Spain,ESP,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,16.9898676059695
Sri Lanka,LKA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.0361051426122
St. Kitts and Nevis,KNA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
St. Lucia,LCA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
St. Martin (French part),MAF,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
St. Vincent and the Grenadines,VCT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Sudan,SDN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,35.2843370986996
Suriname,SUR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Sweden,SWE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.284898384859
Switzerland,CHE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.4951144319461
Syrian Arab Republic,SYR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,18.7511368748829
Tajikistan,TJK,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.5267888177169
Tanzania,TZA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,31.2139504088965
Thailand,THA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,28.8565387408559
Timor-Leste,TLS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Togo,TGO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,47.6389861252917
Tonga,TON,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Trinidad and Tobago,TTO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,74.4578780118078
Tunisia,TUN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,28.8516280424706
Turkiye,TUR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,24.0903993423151
Turkmenistan,TKM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,22.5534346474806
Turks and Caicos Islands,TCA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Tuvalu,TUV,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Uganda,UGA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,29.5710214609719
Ukraine,UKR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,11.3501110385477
United Arab Emirates,ARE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,31.8723424837085
United Kingdom,GBR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,16.5890652290796
United States,USA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,6.70108808471621
Uruguay,URY,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,54.8768187912185
Uzbekistan,UZB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,14.306723151274
Vanuatu,VUT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
"Venezuela, RB",VEN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,11.9001121942492
Viet Nam,VNM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.570299566417
Virgin Islands (U.S.),VIR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
West Bank and Gaza,PSE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,19.4374747665289
"Yemen, Rep.",YEM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,20.7453931968807
Zambia,ZMB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.2431939444571
Zimbabwe,ZWE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,29.5007038430752
Africa Eastern and Southern,AFE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.9349570631688
Africa Western and Central,AFW,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,23.1044377615372
Arab World,ARB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.6786732837103
Caribbean small states,CSS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,NULL
Central Europe and the Baltics,CEB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.2493688591733
Early-demographic dividend,EAR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.1980270729035
